RANK,ENG,FRA,SPA
5,of,de,de
15,do,faire,do
25,they,ils,ellos
35,she,elle,ella
45,about,à propos de,sobre
55,there,de,allí
65,him,lui,él
75,could,pouvait,podría
85,no,pas,no
95,man,homme,hombre
105,very,très,muy
115,work,travail,trabajar
125,call,appeler,llamar
135,in,en,en
145,as,comme,como
155,help,aider,ayuda
165,every,tous,cada
175,yes,oui,sí
185,its,son,su
195,off,de la,fuera
205,case,cas,caso
215,money,argent,dinero
225,today,aujourd'hui,hoy
235,hold,tenir,mantenga
245,anything,tout,cualquier cosa
255,home,maison,casa
265,percent,pourcentage,por ciento
275,kid,enfant,niño
285,long,long,largo
295,service,service,servicio
305,however,cependant,sin embargo
315,watch,regarder,ver
325,kill,tuer,matar
335,often,souvent,a menudo
345,news,nouvelles,noticias
355,able,capable,capaz
365,five,cinq,cinco
375,buy,acheter,comprar
385,door,porte,puerta
395,consider,considérer,considerar
405,everyone,tout le monde,todos
415,process,processus,proceso
425,build,construire,construir
435,college,collège,universidad
445,heart,cœur,corazón
455,air,air,aire
465,wrong,erroné,equivocado
475,security,sécurité,seguridad
485,action,action,acción
495,event,événement,evento
505,model,modèle,modelo
515,couple,couple,pareja
525,role,rôle,papel
535,finally,enfin,finalmente
545,return,retour,devolver
555,road,route,carretera
565,science,science,ciencia
575,matter,matière,materia
585,paper,papier,papel
595,media,média,medios de comunicación
605,look,regard,mirar
615,director,directeur,director
625,fight,combattre,lucha
635,throw,jeter,tirar
645,oil,huile,aceite
655,whose,dont,cuyo
665,forget,oublier,olvidar
675,condition,condition,condición
685,series,série,serie
695,bank,banque,banco
705,blood,sang,sangre
715,response,réponse,respuesta
725,earth,terre,tierra
735,simple,simple,simple
745,common,commun,común
755,hot,chaud,caliente
765,performance,performance,rendimiento
775,example,exemple,ejemplo
785,agency,agence,agencia
795,serious,sérieux,grave
805,identify,identifier,identificar
815,worry,s'inquiéter,preocupación
825,treatment,traitement,tratamiento
835,answer,répondre,responder
845,tv,télé,tv
855,degree,degré,grado
865,present,présent,presente
875,design,design,diseño
885,district,quartier,distrito
895,fan,ventilateur,ventilador
905,clearly,clairement,claramente
915,indicate,indiquer,indican
925,particularly,particulièrement,particularmente
935,union,syndicat,sindicato
945,employee,employé,empleado
955,hate,haine,odio
965,camera,caméra,cámara
975,nobody,personne,nadie
985,design,conception,diseño
995,public,public,público
1005,green,vert,verde
1015,debate,débat,debate
1025,trade,commerce,comercio
1035,deep,profond,profundo
1045,particular,particulier,particular
1055,study,étude,estudio
1065,popular,populaire,popular
1075,maintain,maintenir,mantener
1085,therefore,donc,por lo tanto
1095,far,loin,lejos
1105,expert,expert,experto
1115,march,marche,marzo
1125,okay,bien,bien
1135,down,en bas,abajo
1145,unit,unité,unidad
1155,senate,sénat,senado
1165,score,score,puntuación
1175,worth,valeur,vale
1185,participant,participant,participante
1195,surface,surface,superficie
1205,chair,président,presidente
1215,content,contenu,contenido
1225,run,courir,correr
1235,soldier,soldat,soldado
1245,future,futur,futuro
1255,agreement,accord,acuerdo
1265,league,ligue,liga
1275,attend,assister,asistir
1285,strike,grève,huelga
1295,crisis,crise,crisis
1305,encourage,encourager,fomentar
1315,understanding,compréhension,comprender
1325,path,chemin,camino
1335,complete,complet,completar
1345,definitely,définitivement,definitivamente
1355,thousand,mille,mil
1365,jump,sauter,saltar
1375,possibility,possibilité,posibilidad
1385,basis,base,base
1395,survey,enquête,encuesta
1405,commit,s'engager,cometer
1415,stupid,stupide,estúpido
1425,responsible,responsable,responsable
1435,learning,apprentissage,aprender
1445,variety,variété,variedad
1455,currently,actuellement,actualmente
1465,intelligence,intelligence,inteligencia
1475,start,début,inicio
1485,distance,distance,distancia
1495,favorite,favori,favorito
1505,speed,vitesse,velocidad
1515,facility,installation,instalación
1525,institute,institut,instituto
1535,measure,mesure,medir
1545,view,vue,ver
1555,ticket,billet,billete
1565,shape,forme,forma
1575,lead,plomb,plomo
1585,temperature,température,temperatura
1595,wave,onde,onda
1605,bus,bus,autobús
1615,egg,œuf,huevo
1625,average,moyen,media
1635,african,africain,africano
1645,medicine,médecine,medicina
1655,ah,ah,ah
1665,cash,argent,efectivo
1675,suit,costume,traje
1685,consequence,conséquence,consecuencia
1695,reference,référence,referencia
1705,tour,tour,gira
1715,train,train,tren
1725,confirm,confirmer,confirmar
1735,supreme,suprême,supremo
1745,expand,développer,ampliar
1755,terrible,terrible,terrible
1765,last,dernier,último
1775,mayor,maire,alcalde
1785,fucking,putain,maldito
1795,secret,secret,secreto
1805,solve,résoudre,resolver
1815,beer,bière,cerveza
1825,theme,thème,tema
1835,useful,utile,útil
1845,chairman,président,presidente
1855,limit,limite,limitar
1865,copy,copie,copiar
1875,sleep,dormir,dormir
1885,ocean,océan,océano
1895,organize,organiser,organizar
1905,cloud,nuage,nube
1915,regarding,concernant,respecto a
1925,yours,le vôtre,tuyo
1935,stress,stress,estrés
1945,suppose,supposer,suponer
1955,commitment,engagement,compromiso
1965,capacity,capacité,capacidad
1975,jury,jury,jurado
1985,surgery,chirurgie,cirugía
1995,pleasure,plaisir,placer
2005,knock,coup,golpear
2015,rare,rare,raro
2025,leaf,feuille,hoja
2035,long-term,à long terme,larga duración
2045,comment,commentaire,comentario
2055,lock,verrouiller,cerradura
2065,forth,avant,adelante
2075,trail,piste,rastro
2085,motion,mouvement,movimiento
2095,proper,approprié,correcto
2105,contact,contact,contacto
2115,thick,épais,grueso
2125,signal,signal,señal
2135,mean,moyen,media
2145,typical,typique,típico
2155,rating,valeur,valor
